hmid,hotel_name,city,latitude,longitude,brand,number_of_rooms,stars
25511305,Scandic Aarhus City,Aarhus,56.154270,10.205400,Scandic Hotels,228,4
26856721,Chalet-Hotel Beau-Site,Adelboden,46.493957,7.561651,,36,4.5
25465521,The 1932 Hotel & Spa Cap d'Antibes - MGallery Collection,Antibes,43.566277,7.117099,MGallery,64,4.0
25453168,Hotel Euler,Basel,47.548588,7.590110,Manz Privacy Hotels,66,4
25507017,City Inn Basel,Basel,47.548910,7.589880,Manz Privacy Hotels,30,3
25445213,Bellevue Palace Hotel,Bern,46.946710,7.446665,,126,5
25489472,Holiday Inn BERN-WESTSIDE by IHG,Bern,46.944125,7.374119,Holiday Inn,144,4
25437332,InterContinental Budapest by IHG,Budapest,47.497547,19.047787,InterContinental Hotels & Resorts,402,5
25437338,InterContinental Berlin by IHG,Berlin,52.506939,13.345484,InterContinental Hotels & Resorts,558,5
25437399,Novotel Amsterdam City,Amsterdam,52.334238,4.888436,Novotel,610,4.5
25437401,Moxy Barcelona,Barcelona,41.379430,2.142680,Moxy,414,4
25437491,"Radisson Blu Beke Hotel, Budapest",Budapest,47.508181,19.059453,Radisson Blu,247,4.5
25438709,Stormont Hotel,Belfast,54.594532,-5.839062,Hastings Hotels,106,4
25438838,Mercure Paris Boulogne,Boulogne-Billancourt,48.833697,2.256466,Mercure,191,4
25439286,Scandic Byparken,Bergen,60.390095,5.323932,Scandic Hotels,159,3.5
25440317,Hilton Budapest,Budapest,47.502647,19.033478,Hilton Hotels,332,4.5
25440839,Holiday Inn Birmingham City Centre by IHG,Birmingham,52.475725,-1.899216,Holiday Inn,262,4.0
25441126,Warwick Grand-Place Brussels,Brussels,50.845141,4.354347,Warwick International Hotels,267,4
25441560,Mercure Budapest Castle Hill,Budapest,47.498902,19.026990,Mercure,390,4
25441960,Novotel Paris Est Centre De Conference,Bagnolet,48.863331,2.415115,Novotel,609,4
25441971,ibis Styles Avignon Sud,Avignon,43.926279,4.844330,ibis Styles,121,3
25443248,Mercure Bordeaux Château Chartrons,Bordeaux,44.859206,-0.569377,Mercure,215,4
25443572,Hotel Alimara,Barcelona,41.433871,2.147398,,154,4
25443952,INNSiDE by Melia Barcelona Apolo,Barcelona,41.374642,2.170767,Innside by Meliá,314,4
25444011,NH Sants Barcelona,Barcelona,41.384585,2.137844,NH Hotels,203,4
25444697,Danubius Hotel Helia,Budapest,47.525605,19.055818,Danubius Hotels,262,4
25445043,Melia Barcelona Sarrià,Barcelona,41.390847,2.141677,Meliá,321,5
25445786,Novotel Budapest City,Budapest,47.488564,19.023739,Novotel,319,4.5
25445944,harry's home Berlin Moabit,Berlin,52.525364,13.341825,,73,3
25446958,InterContinental Barcelona by IHG,Barcelona,41.372680,2.155007,InterContinental Hotels & Resorts,273,5
25447421,NH Brussels Grand Place Arenberg,Brussels,50.848487,4.357429,NH Hotels,155,4
25448397,Belstay Milano Assago,Assago,45.401222,9.120630,Holiday Inn,203,4.0
25448853,Novotel Bordeaux Centre Gare Saint Jean,Bordeaux,44.829743,-0.559424,Novotel,99,4
25449424,Scandic Berlin Kurfürstendamm,Berlin,52.500127,13.338367,Scandic Hotels,217,4
25449763,Hotel Abades Benacazon,Benacazón,37.359737,-6.199209,,195,4
25450308,Hotel Berlin Lichtenberg,Berlin,52.533353,13.517566,Comfort Inn,120,0.0
25451673,Kempinski Hotel Corvinus Budapest,Budapest,47.497303,19.052425,Kempinski Hotels,351,5
25453015,NH Brugge Hotel,Bruges,51.203953,3.216875,NH Hotels,149,4
25453160,Verdi Budapest Aquincum,Budapest,47.537552,19.046530,Corinthia Hotels,310,4
25453686,Quality Hotel Brno Exhibition Centre,Brno,49.184208,16.580627,Quality Hotels,200,4.5
25455311,K+K Hotel Opera Budapest,Budapest,47.502252,19.057868,K + K Hotels,200,4
25458113,Scandic Bergen City,Bergen,60.391324,5.317672,Scandic Hotels,262,4
25458148,Novotel Lausanne Bussigny,Bussigny,46.556326,6.560946,Novotel,141,4
25458389,Leonardo Hotel Budapest,Budapest,47.481685,19.072799,Leonardo Hotels,182,3.0
25459328,Campanile Paris Est - Porte de Bagnolet,Bagnolet,48.865546,2.417213,Campanile,274,3
25460188,Martin's Brugge,Bruges,51.207547,3.225510,Martins,199,3.5
25462009,Hotel ibis Schiphol Amsterdam Airport,Badhoevedorp,52.325180,4.793603,ibis,644,3
25462024,Dorint An der Kongresshalle Augsburg,Augsburg,48.359414,10.885912,Dorint Hotels & Resorts,184,4.0
25462302,Mercure Amsterdam City,Amsterdam,52.335183,4.913743,Mercure,368,4.5
25462372,Crowne Plaza Belfast by IHG,Belfast,54.550735,-5.947837,Crowne Plaza,153,4
25462376,NH Amsterdam Schiphol Airport,Amsterdam,52.289681,4.724941,NH Hotels,419,4.5
25463668,H10 Itaca,Barcelona,41.381063,2.145502,H10 Hotels,95,4
25464999,Barceló Sants,Barcelona,41.379031,2.139737,Barceló Hotels,378,4
25465045,Radisson Blu Hotel Amsterdam Airport Schiphol,Amsterdam,52.277699,4.749967,Radisson Blu,263,4.5
25466946,Corinthia Budapest,Budapest,47.502645,19.066772,Corinthia Hotels,437,4.5
25468816,Hotel Barsey by Warwick,Brussels,50.820434,4.370102,Warwick International Hotels,99,4
25469694,NH Budapest City,Budapest,47.512889,19.052130,NH Hotels,160,4.5
25470277,Occidental Atenea Mar- Adults Only,Barcelona,41.402690,2.212179,Occidental Hotels & Resorts,191,4
25470912,H10 Marina Barcelona,Barcelona,41.393060,2.192580,H10 Hotels,235,4
25471190,Ramada by Wyndham Valencia Almussafes,Almussafes,39.313707,-0.419420,Ramada Worldwide,133,3
25472035,Jr Hotels Gigli Firenze,Calenzano,43.844324,11.159475,,92,4
25472083,Mercure Avignon Gare TGV,Avignon,43.928543,4.784357,Mercure,113,3
25473461,JW Marriott Hotel Berlin,Berlin,52.507159,13.363395,JW Marriott,505,0.0
25476642,Crowne Plaza Budapest by IHG,Budapest,47.512925,19.058082,Crowne Plaza,230,4.5
25480806,Novotel Milan Malpensa Airport,Cardano al Campo,45.641166,8.758787,Novotel,208,4
25487652,Four Points by Sheraton Bolzano,Bolzano,46.471839,11.324973,Four Points,189,4
25490952,NH Amsterdam Zuid,Amsterdam,52.326672,4.879970,NH Hotels,213,4.5
25495717,Ramada by Wyndham Cambridge,Cambridge,52.269291,-0.008841,Ramada Worldwide,81,3
25499397,Mercure Lisboa Almada,Almada,38.670846,-9.171030,Mercure,106,4
25502422,BV Grand Hotel Assisi,Assisi,43.060240,12.629792,,155,4
25502602,Mercure Hotel MOA Berlin,Berlin,52.531884,13.344001,Mercure,336,4
25506066,Novotel Avignon Centre,Avignon,43.942746,4.802265,Novotel,130,4
25506774,Hotel Delta Florence,Calenzano,43.850846,11.168686,,243,4
25506851,Best Western Plus Sthlm Bromma,Bromma,59.358080,17.948040,Best Western Plus,202,4
25520848,ibis Milano Malpensa Aeroporto,Cardano Al Campo,45.643468,8.760875,ibis,188,3
25527461,Pullman Brussels Centre Midi,Brussels,50.837100,4.335200,Pullman Hotels & Resorts,237,4.0
25902381,Scandic Asker,Asker,59.834628,10.441177,Scandic Hotels,167,4
26137261,Scandic Glostrup,Brøndby,55.668349,12.419277,Scandic Hotels,120,3
26517721,Hotel Bären Am Bundesplatz,Bern,46.947470,7.443097,Best Western Hotels & Resorts,69,4
26809741,Hôtel Lou Castelet,Carros,43.771239,7.200081,,61,4.0
27303321,Hyatt Place Amsterdam Airport,Amsterdam,52.293400,4.716097,Hyatt Place,330,4.5
29173201,Best Western Plus Suitcase Paris La Defense,Bois-Colombes,48.911363,2.271953,Best Western Plus,112,4
30295469,"Modern Times Hotel, Vevey, a Tribute Portfolio Hotel",Blonay – Saint-Légier,46.469412,6.862520,,136,4
30296476,Courtyard by Marriott Brno,Brno,49.181770,16.605881,Courtyard by Marriott,201,4
30305466,Mercure Belfort Centre,Belfort,47.645198,6.863032,Mercure,76,4
30391013,SOWELL HÔTELS Les Chevaliers,Carcassonne,43.211455,2.357834,Hilton Hotels,90,4
30499884,Radisson Blu Hotel Bruges,Bruges,51.195342,3.220044,Radisson Blu,109,4
30504801,"Radisson Blu 1882 Hotel, Barcelona Sagrada Familia",Barcelona,41.404009,2.169385,Radisson Blu,182,4
30506133,a&o Brussel Centrum,Brussels,50.864917,4.359018,A&O Hostels ,296,2
30526226,Hotel Rainers21,Brunn Am Gebirge,48.114608,16.296446,,174,4
30553966,AC Hotel by Marriott Berlin Humboldthain Park,Berlin,52.549750,13.383550,AC by Marriott,132,4
30587463,SOWELL COLLECTION Hôtel du Roi & SPA,Carcassonne,43.211370,2.357780,Motel 6,88,5
30616276,Radisson Hotel Antwerp Berchem,Antwerp,51.200070,4.433861,Radisson,142,4.0
30631443,nhow Amsterdam RAI,Amsterdam,52.338887,4.890328,nhow,650,4.5
30654539,Kviknes Hotel,Balestrand,61.209180,6.536530,,26,4
30663341,Le Bois De Bruges,Bruges,51.204630,3.216900,,86,4
30844175,Inntel Hotels Amsterdam Landmark,Amsterdam,52.373440,4.928440,,306,4.5
31080680,Radisson Collection Bilbao,Bilbao,43.261000,-2.927000,,137,5
31137923,The Hoxton Brussels,Brussels,50.855715,4.363274,,198,4
31195655,Courtyard By Marriott Biel/Bienne,Biel,47.135878,7.249049,,104,4
hmid,hotel_name,city,latitude,longitude,brand,number_of_rooms,stars
25446953,Hotel Granada Center,Granada,37.179210,-3.608087,Hoteles Center,169,4
25437708,Scandic Lillehammer Hotel,Lillehammer,61.117750,10.477400,Scandic Hotels,303,4
25438540,Radisson Blu Hotel,Lisbon,38.759434,-9.153880,Radisson Blu,221,4
25438613,Leonardo Royal Hotel Frankfurt,Frankfurt,50.091383,8.690609,Leonardo Hotels,449,0.0
25440289,Hotel Albani Firenze,Florence,43.777079,11.250152,,101,4
25440519,"Anglo American Hotel Florence, Curio Collection by Hilton",Florence,43.775111,11.240768,Curio Collection by Hilton,118,5.0
25440769,"Lindner Hotel Frankfurt Hochst, part of JdV by Hyatt",Frankfurt,50.101712,8.553331,Joie de Vivre Hotels,303,4.0
25440852,Scandic Kaisaniemi,Helsinki,60.171667,24.947866,Scandic Hotels,123,3
25440925,Leonardo Hotel Köln,Cologne,50.947930,7.006048,Leonardo Hotels,165,3.0
25441008,Le Méridien Frankfurt,Frankfurt,50.105782,8.666199,Le Meridien,300,5
25441037,Mövenpick Zürich Airport,Glattbrugg,47.439315,8.568781,Mövenpick Hotels & Resorts,333,4
25441094,Warwick Geneva,Geneva,46.210852,6.144392,Warwick International Hotels,167,4
25441237,Lutecia Smart Design Hotel,Lisbon,38.746067,-9.138914,,175,4
25441426,NH Dresden Neustadt,Dresden,51.074282,13.738752,NH Hotels,269,4
25441435,Steigenberger Icon Frankfurter Hof,Frankfurt,50.110141,8.675814,Steigenberger Hotels,303,5.0
25442148,Alphotel Innsbruck,Innsbruck,47.264997,11.428850,,136,4
25443113,Maritim Hotel Frankfurt,Frankfurt,50.112918,8.649872,Maritim Hotels,542,0.0
25443382,Novotel Krakow City West,Kraków,50.070058,19.897916,Novotel,305,4
25443626,Mercure Le Havre Centre Bassin du Commerce,Le Havre,49.490280,0.116959,Mercure,99,4
25443879,Scandic Palace Hotel,Copenhagen,55.676217,12.570274,Scandic Hotels,169,4
25444161,Hilton Dresden an der Frauenkirche,Dresden,51.052446,13.740691,Hilton Hotels,333,4
25444856,Scandic Kallio,Helsinki,60.186866,24.948221,Scandic Hotels,121,3
25445021,Holiday Inn Gloucester-Cheltenham by IHG,Gloucester,51.864508,-2.193758,Holiday Inn,125,3
25445430,"Hotel Coimbra Aeminium, Affiliated by Meliá",Coimbra,40.215883,-8.413863,Meliá,126,4
25445619,7Hotel&Spa,Illkirch-Graffenstaden,48.523043,7.739021,Best Western Hotels & Resorts,137,4
25445632,Hotel Continental,Lausanne,46.517477,6.630045,Manz Privacy Hotels,115,4
25445792,Mövenpick Hotel München Airport,Hallbergmoos,48.331626,11.742450,Mövenpick Hotels & Resorts,165,4
25446178,Bilderberg Bellevue Hotel Dresden,Dresden,51.058346,13.739482,Westin,340,4
25446385,Vienna House by Wyndham Thüringer Hof Eisenach,Eisenach,50.975543,10.324906,Wyndham Hotels,127,0.0
25447504,Doubletree by Hilton Coventry,Coventry,52.436844,-1.433181,DoubleTree by Hilton,172,4
25448255,Best Western Hotel Hebron,Copenhagen,55.672595,12.560795,Best Western Hotels & Resorts,99,3.5
