hmid,hotel_name,city,latitude,longitude,brand,number_of_rooms,stars
25521933,Royal St. Georges Hotel Interlaken - MGallery Collection,Interlaken,46.688784,7.862719,MGallery,98,4.5
25539521,AlpenGold Davos,Davos,46.813101,9.852976,,216,5
25608981,Crowne Plaza Caparica Lisbon by IHG,Costa da Caparica,38.648000,-9.224570,Crowne Plaza,227,4
25921921,M Hotel Ljubljana,Ljubljana,46.068583,14.488832,,147,4.0
26021821,Scandic Sydhavnen,Copenhagen,55.654487,12.541333,Scandic Hotels,391,4
26095701,SwissEver Zug Swiss Quality Hotel,Cham,47.191622,8.447429,Swiss Quality Hotels,125,3
26112601,Hilton Geneva Hotel and Conference Centre,Le Grand-Saconnex,46.236348,6.119417,Hilton Hotels,496,4.5
26134001,Scandic Simonkenttä,Helsinki,60.168991,24.935102,Scandic Hotels,360,4
26181741,Scandic Park Helsinki,Helsinki,60.179066,24.927828,Scandic Hotels,523,4
26201001,Hôtel De la Paix,Lausanne,46.519232,6.636606,Lexington Hotels,109,4
26201101,Hotel Ruze & Wellness,Český Krumlov,48.810352,14.317589,,70,5
26208221,Comfort Hotel Vesterbro,Copenhagen,55.672872,12.559040,Nordic Hotels,400,3
26227941,Original Sokos Hotel Vaakuna Helsinki,Helsinki,60.170555,24.938900,Sokos Hotels,340,4.0
26228281,Hotel Hirsch,Füssen,47.569208,10.702621,,71,4
26246221,Hotel Terrace,Engelberg,46.822918,8.400780,,170,3
26261201,Hotel Cornavin,Genf,46.209434,6.141848,,78,4
26364861,Orizzonte Hotel Letojanni,Letojanni,37.878455,15.305382,,42,4
26410481,Break Sokos Hotel Levi,Levi,67.805926,24.804948,Sokos Hotels,202,4
26539143,Dorint Airport-Hotel Zürich,Glattbrugg,47.438523,8.565523,Dorint Hotels & Resorts,235,4
26652461,"Hotel Valaisia Crans Montana, a Faern Collection Resort",Crans-Montana,46.313774,7.481169,,134,4
26719461,IntercityHotel Ingolstadt,Ingolstadt,48.744892,11.436414,IntercityHotels,144,0.0
26727841,bigBOX ALLGÄU Hotel,Kempten,47.720508,10.316548,,124,4
26858621,Santa's Resort & Spa Hotel Sani,Kalajoki,64.232553,23.811075,,72,4
